,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2867,FSRXU,FinServ Acquisition Corp. II,Financial,Shell Companies,USA,,,9.95,0.0,11812.0
2869,FSSI,Fortistar Sustainable Solutions Corp.,Financial,Shell Companies,USA,311890000.0,,9.65,-0.001,20358.0
2870,FSSIU,Fortistar Sustainable Solutions Corp.,Financial,Shell Companies,USA,,,10.16,0.0049,2515.0
2871,FST,FAST Acquisition Corp.,Financial,Shell Companies,USA,294690000.0,,11.95,0.0101,131200.0
2872,FSTA,Fidelity MSCI Consumer Staples Index ETF,Financial,Exchange Traded Fund,USA,,,43.91,0.008,56839.0
2874,FSTX,"F-star Therapeutics, Inc.",Healthcare,Biotechnology,United Kingdom,116860000.0,,5.92,-0.1177,376801.0
2875,FSV,FirstService Corporation,Real Estate,Real Estate Services,Canada,10410000000.0,58.89,189.16,-0.0052,18243.0
2876,FSZ,First Trust Switzerland AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,70.72,0.0089,1714.0
2877,FT,Franklin Universal Trust,Financial,Closed-End Fund - Debt,USA,213870000.0,23.25,8.51,0.0012,63053.0
2878,FTA,First Trust Large Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,67.65,-0.001,27988.0
2879,FTAAU,FTAC Athena Acquisition Corp.,Financial,Shell Companies,USA,,,10.18,0.002,1343.0
2880,FTAG,First Trust Indxx Global Agriculture ETF,Financial,Exchange Traded Fund,USA,,,30.31,0.0033,14.0
2882,FTC,First Trust Large Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,114.96,0.0014000000000000002,28360.0
2884,FTCI,"FTC Solar, Inc.",Technology,Solar,USA,847950000.0,,10.01,-0.047599999999999996,617761.0
2885,FTCS,First Trust Capital Strength ETF,Financial,Exchange Traded Fund,USA,,,79.15,0.0037,224016.0
2886,FTCV,Fintech Acquisition Corp. V,Financial,Shell Companies,USA,349410000.0,,10.63,0.0095,230947.0
2887,FTCVU,Fintech Acquisition Corp. V,Financial,Shell Companies,USA,,,11.5,0.006,765.0
2889,FTEC,Fidelity MSCI Information Technology Index ETF,Financial,Exchange Traded Fund,USA,,,122.89,0.0043,152224.0
2891,FTF,Franklin Limited Duration Income Trust,Financial,Asset Management,USA,282700000.0,25.98,9.38,0.0054,134337.0
2892,FTFT,Future FinTech Group Inc.,Technology,Software - Application,China,161670000.0,,2.67,-0.0464,1408013.0
2893,FTGC,First Trust Global Tactical Commodity Strategy Fund,Financial,Exchange Traded Fund,USA,,,23.73,0.0034000000000000002,197711.0
2894,FTHI,First Trust BuyWrite Income ETF,Financial,Exchange Traded Fund,USA,,,21.59,-0.0031,23235.0
2895,FTHM,Fathom Holdings Inc.,Real Estate,Real Estate Services,USA,454500000.0,,30.32,-0.1069,56448.0
